id;unitid;businessproposal;subproposal;promisetopay;remarks;visitedby;employeeid
1;Intelligen;maroon Inv;Direct Shi;2021-01-02;leading edge CFA Franc BEAC;Radial Administrator primary;matrix mic
2;synergies ;Small alar;cross-plat;2021-01-01;Keys;pink;connecting
3;channels R;hack input;project Na;2021-01-02;vortals;Movies Rapid payment;Bike
4;infrastruc;salmon fuc;capacitor ;2021-01-01;syndicate Consultant;Refined Frozen Shirt;Engineer
5;applicatio;navigating;Fantastic ;2021-01-02;Engineer;Consultant Credit Card Account;JBOD Alaba
6;impactful;target lav;Home Loan ;2021-01-02;application Generic;circuit Vermont Small;tangible A
7;Ouguiya;e-commerce;Shoes Unbr;2021-01-02;transmitter Gorgeous;Wooden Facilitator;Seamless o
8;Rwanda Fra;Toys Multi;XSS parsin;2021-01-01;integrate Personal Loan Account;Knolls Quetzal Fantastic Concr;sky blue J
9;solid stat;challenge ;open archi;2021-01-02;Avon;Pizza Generic;South Caro
10;Chief;Intelligen;programmin;2021-01-01;Chief payment;Fully-configurable web-enabled;green Berk
